"LIBRARYREFERENCE","FOOTPRINT1","ACCURACY","ACTUATOR LENGTH","ACTUATOR MATERIAL","ACTUATOR TYPE","AVERAGE RECTIFIED CURRENT","BREAKDOWN VOLTAGE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","CLAMPING VOLTAGE","CLOCK FREQUENCY","COLOR","COMMENT","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","CONNECTOR TYPE","CONSTRUCTION","CONTACT CURRENT RATING","CONTACT FINISH - MATING","CONTACT GENDER","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT POST LENGTH","CONTACT SHAPE","CONTACT TYPE","CORE ARCHITECTURE","CORE MATERIAL","CURRENT RATING","DATA BUS WIDTH","DC RESISTANCE (DCR)","DEPTH","DIAMETER","DIELECTRIC","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DROPOUT VOLTAGE","ELV","ESR","ESR (EQUIVALENT SERIES RESISTANCE)","FASTENING TYPE","FEATURES","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","GENDER","HEIGHT","HEIGHT - SEATED (MAX)","HOUSING MATERIAL","ILLUMINATION TYPE","IMPEDANCE","INDUCTANCE TOLERANCE","INPUT BIAS CURRENT","INSULATION COLOR","INSULATION MATERIAL","INSULATION RESISTANCE","INTERFACE","LEAD FREE","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS TRANSPARENCY","LIFE (HOURS)","LOAD CAPACITANCE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MATED STACKING HEIGHTS","MATERIAL","MAX CURRENT RATING","MAX DC CURRENT","MAX FORWARD SURGE CURRENT (IFSM)","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX REVERSE CURRENT","MAX REVERSE LEAKAGE CURRENT","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY VOLTAGE","MAX SURGE CURRENT","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MECHANICAL LIFE","MEMORY FORMAT","MEMORY SIZE","MILITARY STANDARD","MIN CURRENT LIMIT","MIN INPUT VOLTAGE","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN SUPPLY VOLTAGE","MOUNTING TECHNOLOGY","NOMINAL SUPPLY CURRENT","NUMBER OF ADC CHANNELS","NUMBER OF BITS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUTS","NUMBER OF LINES","NUMBER OF OUTPUTS","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF PWM CHANNELS","NUMBER OF REGULATORS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","OPERATING FORCE","OPERATING FREQUENCY","OPERATING SUPPLY VOLTAGE","ORIENTATION","OSCILLATOR TYPE","OUTPUT CURRENT","OUTPUT TYPE","OUTPUT VOLTAGE","PACKAGE QUANTITY","PACKAGING","PEAK NON-REPETITIVE SURGE CURRENT","PERIPHERALS","PINS","PITCH","POLARITY","POWER DISSIPATION","POWER RATING","PRICING","PROPAGATION DELAY","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RATINGS","REACH SVHC COMPLIANT","RECOVERY TIME","RESISTANCE TOLERANCE","RESISTOR TYPE","REVERSE RECOVERY TIME","REVERSE RECOVERY TIME-MAX","REVERSE VOLTAGE","RIPPLE CURRENT","RIPPLE CURRENT (AC)","RMS CURRENT (IRMS)","ROHS","ROHS COMPLIANT","SATURATION CURRENT","SERIES","SHIELDING","STOCK","SUPPLIER","SUPPLIER PART NUMBER","SWITCH FUNCTION","SWITCH TRAVEL","TECHNOLOGY","TEMPERATURE COEFFICIENT","TERMINATION","TEST CURRENT","TEST FREQUENCY","THICKNESS","THROW CONFIGURATION","TOLERANCE","TYPE","VALUE","VIEWING ANGLE","VOLTAGE","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","WAVELENGTH","WEIGHT","WIDTH","WORKING VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"10118193-0001LF","10118193","","","","","","","","","","LDO","","","Black","10118193-0001LF","","","","","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Arrow+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Arrow+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Onlinecomponents.com","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Onlinecomponents.com","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Verical","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Verical","https://datasheet.octopart.com/10118193-0001LF-Amphenol-Communications-Solutions-datasheet-96019471.pdf?src-supplier=Element14","https://datasheet.octopart.com/10118193-0001LF-Amphenol-Communications-Solutions-datasheet-96019471.pdf?src-supplier=Element14","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Avnet","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=Avnet","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=TTI","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf?src-supplier=TTI","https://datasheet.octopart.com/10118193-0001LF-Amphenol-Communications-Solutions-datasheet-11792339.pdf?src-supplier=Electro+Sonic","https://datasheet.octopart.com/10118193-0001LF-Amphenol-Communications-Solutions-datasheet-11792339.pdf?src-supplier=Electro+Sonic","https://datasheet.octopart.com/10118193-0001LF-Amphenol-Communications-Solutions-datasheet-55953155.pdf?src-supplier=TME","https://datasheet.octopart.com/10118193-0001LF-Amphenol-Communications-Solutions-datasheet-55953155.pdf?src-supplier=TME","","","USB,Receptacle","","","","","Copper Alloy","","Gold","","","","","","1.8A","","","5.67mm","","","","","","","","","","Shielded","UL94 V-0","","","","","","Female","","","Polymer","","","","","","","1GR","","","","","7.86mm","","","","","","","","Amphenol ICC / FCI","10118193-0001LF","","","","","","85°C","","","","","","","","","","100V","","","","","","","","-55°C","","","Surface Mount,Horizontal","","","","","","5","","","","","","","","1","","","","","","","","","","","Right Angle","","","","","1200","Tape and Reel","","","5","0.65mm","","","","1=0.41, 10=0.351, 25=0.3288, 50=0.313, 100=0.2979, 250=0.27924, 500=0.2659 (USD)","","","No","","","","","","","","","","","","","No","","","-","","130789","Digikey","609-4616-1-ND","","","","","Solder","","","","","","","","","","100V","","","","","","","*","J?","FCI Right Angle Surface Mount Mount Female USB Connector; 100 V ac; 1.8A"
"1825910-6","1825910-6","","0.055inch","PBT","Standard","","","","","","Pushbutton Switches","","","46Colour","1825910-6","","","","","","","","","","","","","","","","","","","","","","","","","50mA","","","Copper Alloy","","Silver","","","","","","50mA","","","","","","","","","5681ELVCompliant","","","","","","","","","","","","","","","Non-Illuminated,Illuminated","","","","","","100MR","","5697LeadFree","","","5.99mm","","","","","","","","TE Connectivity Alcoswitch","1825910-6","","4261ConductorMaterial","50mA","","","85°C","","","","","","","","","","","24V","100000Cycles","","","","","","-35°C","","","Through Hole","","","","","","","","","","","","","","","2NUMBER","","","","","","","160gf","","","","","","","","","Loose Piece","","","","","","","","1=0.13, 10=0.118, 25=0.1112, 100=0.1001, 250=0.093, 750=0.08485, 1500=0.08009, 3000=0.07565, 5250=0.07234 (USD)","","","","","","Unknown","","","","","","","","","","Yes","Yes","","FSMJ","","34175","Digikey","450-1650-ND","Off-Mom","0.25mm","","","PC Pins","","","","SPST","","Switch","","","","","","","","","6mm","","*","SW?","Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 1.57N Thru-Hole Loose"
"4828-3004-CP","28-DIP_7.62mm_SOCKET","","","","","","","","","","Connectors","","","","28-DIP Socket","","","","","https://datasheet.ciiva.com/768/ts1099-768354.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/768/ts1099-768354.pdf?src-supplier=Digikey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3M","4828-3004-CP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.96, 14=0.79786, 28=0.75929, 56=0.72304, 112=0.68848, 252=0.65016, 504=0.61911, 1008=0.58954, 2506=0.55285 (USD)","","","","","","","","","","","","","","","","Yes","","","","","5364","Digikey","3M5480-ND","","","","","","","","","","","","","","","","","","","","","","*","SCKT For U","Socket DIP 28Cnts DualWipe 0.3InSpc. PhosphorBronze Nickel KinkedTail 4800Series | 3M 4828-3004-CP"
"67997-106HLF","HDR_2X3_2.54mm","","","","","","","","","","Headers and Wire Housings","","","","HDR 2x3","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=TTI","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=TTI","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Heilind+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Heilind+Electronics","http://uk.rs-online.com/webdocs/1450/0900766b81450b8b.pdf?src-supplier=Rs","http://uk.rs-online.com/webdocs/1450/0900766b81450b8b.pdf?src-supplier=Rs","https://datasheet.octopart.com/67997-106HLF-Areva-datasheet-118652.pdf?src-supplier=Digikey","https://datasheet.octopart.com/67997-106HLF-Areva-datasheet-118652.pdf?src-supplier=Digikey","https://datasheet.octopart.com/67997-106HLF-Amphenol-Communications-Solutions-datasheet-36854132.pdf?src-supplier=Farnell","https://datasheet.octopart.com/67997-106HLF-Amphenol-Communications-Solutions-datasheet-36854132.pdf?src-supplier=Farnell","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Mouser","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Mouser","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Avnet","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Avnet","http://components.arrow.com/part/dataview/41913658S7633350N8314?src-supplier=Arrow+Electronics","http://components.arrow.com/part/dataview/41913658S7633350N8314?src-supplier=Arrow+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Onlinecomponents.com","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Onlinecomponents.com","http://www.farnell.com/datasheets/1876884.pdf?src-supplier=Newark","http://www.farnell.com/datasheets/1876884.pdf?src-supplier=Newark","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Allied+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf?src-supplier=Allied+Electronics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amphenol ICC / FCI","67997-106HLF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.54, 10=0.462, 400=0.3562, 800=0.33919, 1200=0.32961, 5200=0.29721, 10000=0.28381 (USD)","","","","","","","","","","","","","","","","No","","","","","4784","Digikey","609-3393-ND","","","","","","","","","","","","","","","","","","","","","","*","J?","Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk"
"68000-103HLF","Hdr_1x3_2.54mm","","","","","","","","","","Headers and Wire Housings","","","","HDR 1x3","","","","","https://datasheet.ciiva.com/46392/1914865-46392021.pdf?src-supplier=Element14","https://datasheet.ciiva.com/46392/1914865-46392021.pdf?src-supplier=Element14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amphenol ICC / FCI","68000-103HLF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.3, 10=0.251, 100=0.2132, 500=0.19026, 1000=0.18116, 5000=0.1617, 10000=0.15399 (USD)","","","","","","","","","","","","","","","","No","","","","","13111","Digikey","609-3461-ND","","","","","","","","","","","","","","","","","","","","","","*","JP?","Conn Unshrouded Header HDR 3 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Automotive Bulk"
"68001-204HLF","HDR_1x4_2.54mm","","","","","","","","","","Headers and Wire Housings","","","Black","HDR 1x4","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Heilind+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Heilind+Electronics","https://datasheet.octopart.com/68001-204HLF-Amphenol-Communications-Solutions-datasheet-154727322.pdf?src-supplier=Master+Electronics","https://datasheet.octopart.com/68001-204HLF-Amphenol-Communications-Solutions-datasheet-154727322.pdf?src-supplier=Master+Electronics","http://uk.rs-online.com/webdocs/1450/0900766b81450c68.pdf?src-supplier=Rs","http://uk.rs-online.com/webdocs/1450/0900766b81450c68.pdf?src-supplier=Rs","http://components.arrow.com/part/dataview/42735081S8853857N8314?src-supplier=Arrow+Electronics","http://components.arrow.com/part/dataview/42735081S8853857N8314?src-supplier=Arrow+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Avnet","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Avnet","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Allied+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Allied+Electronics","https://datasheet.octopart.com/68001-204HLF-Amphenol-Communications-Solutions-datasheet-100449246.pdf?src-supplier=Future+Electronics","https://datasheet.octopart.com/68001-204HLF-Amphenol-Communications-Solutions-datasheet-100449246.pdf?src-supplier=Future+Electronics","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Digikey","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Digikey","https://datasheet.octopart.com/68001-204HLF-Amphenol-Communications-Solutions-datasheet-41232361.pdf?src-supplier=Element14","https://datasheet.octopart.com/68001-204HLF-Amphenol-Communications-Solutions-datasheet-41232361.pdf?src-supplier=Element14","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Mouser","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=Mouser","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=TTI","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf?src-supplier=TTI","","","","","Male","Bronze","0.23inch","Gold,GXT","3.05mm","","Male Pin","","","3A","","","","","","","","","","","","","","UL94 V-0","","","","","","","","","Thermoplastic","","","","","","","5GR","","","","","","","","","","","","","Amphenol ICC / FCI","68001-204HLF","","","","","","125°C","","","","","","","","","","","","","","","","","","-65°C","","","Through Hole","","","","","","4","","","","","","","","","4","","","1","","","","","","","Straight","","","","","100","Bulk","","","","2.54mm","","","","1=0.47, 10=0.401, 100=0.3406, 500=0.30394, 1000=0.28942, 5000=0.25834, 10000=0.24602 (USD)","","","No","","","","","","","","","","","","","No","","","BERGSTIK® II, MezzSelect™, Basics+","","2500","Digikey","609-3402-ND","","","","","Solder","","","","","","","","","","1.5kV","","","","","","","*","JP?","Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Thru-Hole Bag"
"68602-204HLF","HDR_2X2_2.54MM","","","","","","","","","","","","","","HDR 2x2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AMPHENOL ICC (FCI)","68602-204HLF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","","","","Digikey","609-3369-ND","","","","","","","","","","","","","","","","","","","","","","*","J?","Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk"
"ABM7-10.000MHZ-D2Y-T","ABM7_v1_1_big","","","","","","","","","","Crystals","","","","ABM7-10.000MHZ-D2Y-T","","","","","https://datasheet.ciiva.com/16397/abm7-16397372.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/16397/abm7-16397372.pdf?src-supplier=Future+Electronics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4mm","","","","","","","","","","","","","","6mm","","","","","","","","Abracon","ABM7-10.000MHZ-D2Y-T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1=0.66, 10=0.573, 50=0.5196, 100=0.4981, 500=0.45152, 1000=0.34158, 2000=0.32842, 3000=0.32703 (USD)","","","","","","","","","","","","","","","","Yes","","","","","28208","Digikey","535-9833-1-ND","","","","","","","","","","0.002%","","","","","","","","","","3.5mm","","*","Y?","Crystal 10MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 80Ohm 2-Pin Mini-CSMD T/R"
"ABM7-16.000MHZ-D2Y-T","ABM7_v1_1_big","","","","","","","","","CSMD","Crystals","","","","ABM7-16.000MHZ-D2Y-T","https://datasheet.ciiva.com/26941/getdatasheetpartid-719818-26941724.pdf?src-supplier=Verical","https://datasheet.ciiva.com/26941/getdatasheetpartid-719818-26941724.pdf?src-supplier=Verical","","","https://datasheet.ciiva.com/15116/getdatasheetpartid-721624-15116835.pdf?src-supplier=Verical","https://datasheet.ciiva.com/15116/getdatasheetpartid-721624-15116835.pdf?src-supplier=Verical","https://datasheet.ciiva.com/5788/abm7-5788054.pdf?src-supplier=Farnell","https://datasheet.ciiva.com/5788/abm7-5788054.pdf?src-supplier=Farnell","https://datasheet.ciiva.com/7998/947971-7998600.pdf?src-supplier=Element14","https://datasheet.ciiva.com/7998/947971-7998600.pdf?src-supplier=Element14","https://datasheet.ciiva.com/22658/947971-22658293.pdf?src-supplier=Element14","https://datasheet.ciiva.com/22658/947971-22658293.pdf?src-supplier=Element14","https://datasheet.ciiva.com/46385/947971-46385243.pdf?src-supplier=Element14","https://datasheet.ciiva.com/46385/947971-46385243.pdf?src-supplier=Element14","https://datasheet.ciiva.com/18649/abm7-18649866.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/18649/abm7-18649866.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/18649/abm7-18649865.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/18649/abm7-18649865.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/18649/abm7-18649867.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/18649/abm7-18649867.pdf?src-supplier=Digikey","https://datasheet.ciiva.com/16383/abm7-16383174.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/16383/abm7-16383174.pdf?src-supplier=Future+Electronics","","","","","","","","","","","","","","","","","3.5mm","","","","","","","","50R","","","","","","16MHz","30ppm","20ppm","","1.4mm","","","","","","","","","","","Lead Free","","","6mm","","","","18pF","","","","Abracon","ABM7-16.000MHZ-D2Y-T","","","","","","85°C","","","","","","","","","","","","","","","","","","-40°C","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","16 MHz","","","","","","","1000","Tape and Reel","","","2","","","","","1=0.66, 10=0.573, 50=0.5196, 100=0.4981, 500=0.45152 (USD)","","","","","","Unknown","","","","","","","","","","Yes","","","ABM7","","27866","Digikey","535-9840-1-ND","","","","","SMD/SMT","","","","","20ppm","","","","","","","","","","3.3mm","","*","Y?","Crystal 16MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 50Ohm 2-Pin Mini-CSMD T/R"
